TAPE_LABEL,Offense,Defense,Game,Drive ID,SER,S#,DOWN,DISTANCE,DownSit,DistSit,DistSitO,DDSit,FPOS,FPOS(0-100),Fieldzone,HASH,PERS,MOTION,BACK,FORM,FORM_FAM,FSL,UNB,PR01,R/P,PLAY_TYPE,GAIN,PASS_RESULT,Points Added,SER_END,DEF_PERS,FRONT,FRONT_ADJ,BOX,DL Count,LB Count,LB_ALIGN,COVER,LEFT_COVERAGE_TAG,COV_FAM,MAN-ZONE,MOF,STUNTS,BLITZ,SITUATION
Xchange-URI OFF vs Harvard  9282018.001,URI,Harvard,URI VS Harvard,URI VS Harvard: 1,1,1,1,10,1st,Long,L,1st and Long,46,54,50 _ 60,R,12,Z IN,ST,DICE LT,DICE,,,0,R,Q TRUCK,3,,0,,BASE,HEADS,7 7,4_1,4,1,SWW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.002,URI,Harvard,URI VS Harvard,URI VS Harvard: 1,1,2,2,7,2nd,Medium,M,2nd and Medium,43,57,60 _ 70,L,11,,ST,TREY RT ON,TREY ON,,,1,P,HITCH,4,COM,0,,BASE,OVER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.003,URI,Harvard,URI VS Harvard,URI VS Harvard: 1,1,3,3,3,3rd,Short,S,3rd and Short,39,61,60 _ 70,R,11,W RODEO,WK,DEUCE LT,DEUCE,,,1,P,QUICK,3,SCRAM,0,,NICKEL,UNDER G,,4_2,4,2,SO,3 HOOK ST,X,3,ZONE,C,TN,,
Xchange-URI OFF vs Harvard  9282018.004,URI,Harvard,URI VS Harvard,URI VS Harvard: 1,1,4,1,10,1st,Long,L,1st and Long,36,64,60 _ 70,LM,12,,PIST FULL,RT,RT,,,0,R,ISO,1,,0,,BASE,OVER G,,4_3,4,3,,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.005,URI,Harvard,URI VS Harvard,URI VS Harvard: 1,1,5,2,9,2nd,Long,L,2nd and Long,35,65,70 _ 80,L,11,W RODEO,ST,DEUCE RT,DEUCE,,,0,R,BLING,1,,0,,BASE,OVER G,,4_1,4,1,SWW,3 SNOW,X,3,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.006,URI,Harvard,URI VS Harvard,URI VS Harvard: 1,1,6,3,8,3rd,Long,L,3rd and Long,34,66,70 _ 80,L,11,,WK,DEUCE RT,DEUCE,,,1,P,DBP,-8,SACK,0,PUNT,NICKEL,UNDER G,,4_2,4,2,SO,4,X,4,ZONE,C,TN,,
Xchange-URI OFF vs Harvard  9282018.007,URI,Harvard,URI VS Harvard,URI VS Harvard: 2,2,1,1,10,1st,Long,L,1st and Long,-40,40,40 _ 50,R,12,,WK,DICE LT,DICE,,,0,R,TRUCK,3,,0,,BASE,HEADS,7 7,4_1,4,1,SWW,4,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.008,URI,Harvard,URI VS Harvard,URI VS Harvard: 2,2,2,2,7,2nd,Medium,M,2nd and Medium,-43,43,40 _ 50,L,11,W RODEO,SPLIT,OPEN RT,OPEN,,,1,P,DBP,0,INC,0,,NICKEL,HEADS,,4_1,4,1,SWW,3 CLD STR,SLICE X,3,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.009,URI,Harvard,URI VS Harvard,URI VS Harvard: 2,2,3,3,7,3rd,Medium,M,3rd and Medium,-43,43,40 _ 50,L,11,,WK,TRIO RT,TRIO,,,1,P,DBP,-2,SACK,0,PUNT,NICKEL,OVER G,7,4_1,4,1,BOSS,2 TAMPA,,2,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.010,URI,Harvard,URI VS Harvard,URI VS Harvard: 3,3,1,1,10,1st,Long,L,1st and Long,-44,44,40 _ 50,R,11,W ROCKET,WK,DUO LT,DUO,Y,,0,R,RACE,-4,,0,,BASE,OVER G,,4_2,4,2,SW,3 SNOW,X,3,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.011,URI,Harvard,URI VS Harvard,URI VS Harvard: 3,3,2,2,14,2nd,Extra Long,aL,2nd and Extra Long,-40,40,40 _ 50,L,11,Y RT,ST,TREY RT,TREY,,,1,P,PA,0,INC,0,,BASE,OVER G,,4_2,4,2,SW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.012,URI,Harvard,URI VS Harvard,URI VS Harvard: 3,3,3,3,14,3rd,Extra Long,aL,3rd and Extra Long,-40,40,40 _ 50,L,11,,WK,DEUCE RT,DEUCE,,,1,P,DBP,-5,PEN,0,,ODD,ODD,,3_3,3,3,SO,30 FIRE,X BAIL,3,ZONE,C,EN BDY,,
Xchange-URI OFF vs Harvard  9282018.013,URI,Harvard,URI VS Harvard,URI VS Harvard: 3,3,4,3,19,3rd,Extra Long,aL,3rd and Extra Long,-35,35,40 _ 50,L,11,,WK,TRIO RT,TRIO,,,1,P,DBP,,INT,0,INT,ODD,ODD,,3_3,3,3,SO,20 TAMPA,,2,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.014,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,1,1,10,1st,Long,L,1st and Long,-26,26,30 _ 40,R,12,,ST,DING RT,DING,,,0,R,TRUCK,5,,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.015,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,2,2,5,2nd,Medium,M,2nd and Medium,-31,31,30 _ 40,R,12,Y LT,ST,DING RT,DING,,,1,P,PROP,10,COM,0,,BASE,HEADS,7,4_1,4,1,WHSW,4,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.016,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,3,1,10,1st,Long,L,1st and Long,-41,41,40 _ 50,L,11,W ROCKET,WK,DUO RT,DUO,Y,,0,R,OUTSIDE ZONE,0,,0,,BASE,OVER G,,4_1,4,1,SWW,3 SNOW,X,3,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.017,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,4,2,10,2nd,Long,L,2nd and Long,-41,41,40 _ 50,L,,,,,,,,,N,,-5,,0,,,,,,,,,,,,,,,,
Xchange-URI OFF vs Harvard  9282018.018,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,5,2,15,2nd,Extra Long,aL,2nd and Extra Long,-36,36,40 _ 50,L,11,Y RETURN,WK,DUO LT,DUO,,,1,P,PA,14,COM,0,,BASE,UNDER G,,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.019,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,6,3,1,3rd,Short,S,3rd and Short,50,50,50 _ 60,R,,,,,,,,,N,,,,0,,,,,,,,,,,,,,,,
Xchange-URI OFF vs Harvard  9282018.020,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,7,3,1,3rd,Short,S,3rd and Short,50,50,50 _ 60,R,12,,ST,TRIO LT ON,TRIO ON,,,0,R,INSIDE ZONE,2,,0,,BASE,UNDER G,7 7,4_1,4,1,WHSW,4,BAIL,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.021,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,8,1,10,1st,Long,L,1st and Long,48,52,50 _ 60,M,11,,ST,DUO RT,DUO,,,1,P,PROP,-5,PEN,0,,BASE,HEADS,,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.022,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,9,1,15,1st,Extra Long,aL,1st and Extra Long,-47,47,50 _ 60,M,11,,ST,TRIO LT,TRIO,,,1,P,DBP,0,COM,0,,4_4,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.023,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,10,2,15,2nd,Extra Long,aL,2nd and Extra Long,-47,47,50 _ 60,L,12,,ST,DICE RT,DICE,,,1,P,NAKED,12,COM,0,,BASE,OVER G,7 7,4_1,4,1,SWW,4,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.024,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,11,3,3,3rd,Short,S,3rd and Short,41,59,60 _ 70,R,11,,WK,DUO RT ON,DUO ON,,,1,P,QUICK,4,COM,0,,BASE,OVER G,7,4_1,4,1,WHSW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.025,URI,Harvard,URI VS Harvard,URI VS Harvard: 4,4,12,1,10,1st,Long,L,1st and Long,37,63,60 _ 70,L,12,Z IN,WK,DICE RT,DICE,,,1,P,PA,37,COM,0,TD,BASE,HEADS,7 7,4_1,4,1,SWW,4,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.026,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,1,1,10,1st,Long,L,1st and Long,-11,11,10 _ 20,L,11,,ST,TREY RT ON,TREY ON,,,0,R,INSIDE ZONE,0,,0,,BASE,OVER G,7,4_2,4,2,SW,33,,3,ZONE,C,,COP3,
Xchange-URI OFF vs Harvard  9282018.027,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,2,2,10,2nd,Long,L,2nd and Long,-11,11,10 _ 20,LM,12,T RODEO,PIST FULL,RT,RT,,,1,P,PA,45,COM,0,,BASE,UNDER G,,4_3,4,3,,4,PRESS,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.028,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,3,1,10,1st,Long,L,1st and Long,44,56,60 _ 70,RM,12,Y LT,ST,DING RT,DING,,,0,R,LOCK,4,,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.029,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,4,2,6,2nd,Medium,M,2nd and Medium,40,60,60 _ 70,R,11,Y LT,ST,TREY LT,TREY,,,1,P,PA,15,COM,0,,BASE,HEADS,,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.030,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,5,1,10,1st,Long,L,1st and Long,25,75,80 _ 90,L,11,Y RETURN,ST,DUO RT STKS,DUO STKS,Y,,0,R,OUTSIDE ZONE,0,,0,,BASE,HEADS,,4_1,4,1,SWW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.031,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,6,2,10,2nd,Long,L,2nd and Long,25,75,80 _ 90,RM,11,Y RT,ST,TREY RT,TREY,Y,,1,P,PA,10,COM,0,,BASE,UNDER G,,4_2,4,2,WW,4,BAIL,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.032,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,7,1,10,1st,Long,L,1st and Long,15,85,90 _ 100,L,12,,WK,DICE RT,DICE,,,1,P,TRUCK,0,INC,0,,BASE,HEADS,7 7,4_1,4,1,SWW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.033,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,8,2,10,2nd,Long,L,2nd and Long,15,85,90 _ 100,L,11,,WK,DEUCE RT,DEUCE,,,1,P,QUICK,6,COM,0,,NICKEL,UNDER G,,4_2,4,2,SO,1,,1,MAN,C,,,
Xchange-URI OFF vs Harvard  9282018.034,URI,Harvard,URI VS Harvard,URI VS Harvard: 5,5,9,3,4,3rd,Short,S,3rd and Short,9,91,90 _ 100,L,11,,WK,TRIPS RT,TRIPS,,,1,P,DBP,9,SCRAM,0,TD,NICKEL,UNDER G,,4_1,4,1,BOSS,1,X,1,MAN,C,,MC,
Xchange-URI OFF vs Harvard  9282018.035,URI,Harvard,URI VS Harvard,URI VS Harvard: 6,6,1,1,10,1st,Long,L,1st and Long,-7,7,10 _ 20,R,12,,ST,DING RT,DING,,,0,R,BUCK,6,,0,,BASE,HEADS,,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.036,URI,Harvard,URI VS Harvard,URI VS Harvard: 6,6,2,2,4,2nd,Short,S,2nd and Short,-13,13,10 _ 20,R,11,,ST,TREY LT ON,TREY ON,,,1,P,SMOKE,8,COM,0,,BASE,OVER G,7,4_2,4,2,SW,6,,4,ZONE,O,2I 5 DIG,,
Xchange-URI OFF vs Harvard  9282018.037,URI,Harvard,URI VS Harvard,URI VS Harvard: 6,6,3,1,10,1st,Long,L,1st and Long,-21,21,20 _ 30,L,11,,ST,TREY RT ON,TREY ON,,,0,R,INSIDE ZONE,5,,0,,BASE,OVER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.038,URI,Harvard,URI VS Harvard,URI VS Harvard: 6,6,4,2,5,2nd,Medium,M,2nd and Medium,-26,26,30 _ 40,L,12,,ST,DING LT,DING,,,0,R,TRUCK,4,,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.039,URI,Harvard,URI VS Harvard,URI VS Harvard: 6,6,5,3,1,3rd,Short,S,3rd and Short,-30,30,30 _ 40,L,12,,PIST FULL,RT,RT,,,0,R,ISO,0,,0,PUNT,BASE,TITE,,4_3,4,3,,4,PRESS,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.040,URI,Harvard,URI VS Harvard,URI VS Harvard: 7,7,1,1,10,1st,Long,L,1st and Long,-24,24,20 _ 30,R,11,,ST,DUO RT ON,DUO ON,,,0,R,POWER,0,,0,,BASE,UNDER G,7,4_1,4,1,SWW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.041,URI,Harvard,URI VS Harvard,URI VS Harvard: 7,7,2,2,10,2nd,Long,L,2nd and Long,-24,24,20 _ 30,R,11,Y LT,ST,TREY LT,TREY,,,1,P,PA,0,INC,0,,BASE,OVER G,,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.042,URI,Harvard,URI VS Harvard,URI VS Harvard: 7,7,3,3,10,3rd,Long,L,3rd and Long,-24,24,20 _ 30,R,11,,ST,DEUCE LT,DEUCE,,,1,P,DBP,0,INC,0,PUNT,NICKEL,UNDER G,,4_2,4,2,SO,1,,1,MAN,C,WB R DROP,,
Xchange-URI OFF vs Harvard  9282018.043,URI,Harvard,URI VS Harvard,URI VS Harvard: 8,8,1,1,10,1st,Long,L,1st and Long,-16,16,20 _ 30,M,11,,ST,TREY LT ON,TREY ON,,,0,R,INSIDE ZONE,4,,0,,BASE,OVER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.044,URI,Harvard,URI VS Harvard,URI VS Harvard: 8,8,2,2,6,2nd,Medium,M,2nd and Medium,-20,20,20 _ 30,LM,12,Z ROCKET,WK,DICE RT,DICE,,,0,R,RACE,2,COM,0,,BASE,HEADS,7 7,4_1,4,1,SWW,3 CLD STR,SLICE,3,ZONE,C,,,
Xchange-URI OFF vs Harvard  9282018.045,URI,Harvard,URI VS Harvard,URI VS Harvard: 8,8,3,3,4,3rd,Short,S,3rd and Short,-22,22,20 _ 30,L,11,,WK,TRIPS RT,TRIPS,,,1,P,DBP,-9,SACK,0,PUNT,BASE,UNDER G,,4_1,4,1,BOSS,1,DBL X,1,MAN,O,,,
Xchange-URI OFF vs Harvard  9282018.046,URI,Harvard,URI VS Harvard,URI VS Harvard: 9,9,1,1,10,1st,Long,L,1st and Long,-17,17,20 _ 30,R,12,Y LT,ST,DING RT,DING,,,0,R,LOCK,4,,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.047,URI,Harvard,URI VS Harvard,URI VS Harvard: 9,9,2,2,6,2nd,Medium,M,2nd and Medium,-21,21,20 _ 30,R,12,Y LT,ST,DING RT,DING,,,1,P,DBP,0,INC,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.048,URI,Harvard,URI VS Harvard,URI VS Harvard: 9,9,3,3,6,3rd,Medium,M,3rd and Medium,-21,21,20 _ 30,R,11,TAP,ST,DEUCE LT,DEUCE,,,1,P,DBP,4,COM,0,PUNT,NICKEL,UNDER G,,4_1,4,1,SWW,32,,3,ZONE,C,E PEEL,M1 WSA,
Xchange-URI OFF vs Harvard  9282018.049,URI,Harvard,URI VS Harvard,URI VS Harvard: 10,10,1,1,10,1st,Long,L,1st and Long,-31,31,30 _ 40,LM,11,,ST,TREY RT ON,TREY ON,,,1,P,DBP,24,COM,0,,BASE,OVER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.050,URI,Harvard,URI VS Harvard,URI VS Harvard: 10,10,2,1,10,1st,Long,L,1st and Long,45,55,60 _ 70,L,12,,ST,DING LT,DING,,,0,R,BUCK,0,,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.051,URI,Harvard,URI VS Harvard,URI VS Harvard: 10,10,3,2,10,2nd,Long,L,2nd and Long,45,55,60 _ 70,L,12,Y RODEO,PIST FULL,RT,RT,,,0,R,ISO,4,,0,,BASE,TITE,,4_3,4,3,,4,X,4,ZONE,O,,,
Xchange-URI OFF vs Harvard  9282018.052,URI,Harvard,URI VS Harvard,URI VS Harvard: 10,10,4,3,6,3rd,Medium,M,3rd and Medium,41,59,60 _ 70,R,11,,ST,TREY LT,TREY,,,1,P,PA,-13,SACK,0,PUNT,NICKEL,UNDER G,,4_2,4,2,,1,X,1,MAN,C,SC R DROP,,
Xchange-URI OFF vs Harvard  9282018.053,URI,Harvard,URI VS Harvard,URI VS Harvard: 11,11,1,1,10,1st,Long,L,1st and Long,-36,36,40 _ 50,R,11,,ST,DUO RT ON,DUO ON,,,0,R,TRAP,1,,0,,BASE,HEADS,7,4_2,4,2,SW,4,X,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.054,URI,Harvard,URI VS Harvard,URI VS Harvard: 11,11,2,2,9,2nd,Long,L,2nd and Long,-37,37,40 _ 50,R,12,,WK,DICE LT,DICE,,,0,R,TRUCK,1,,0,,BASE,HEADS,,4_1,4,1,SWW,4,PRESS,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.055,URI,Harvard,URI VS Harvard,URI VS Harvard: 11,11,3,3,8,3rd,Long,L,3rd and Long,-38,38,40 _ 50,R,11,Y LT,WK,TREY LT,TREY,,,1,P,DBP,0,INC,0,PUNT,NICKEL,OVER G,,4_2,4,2,SO,1,X,1,MAN,C,W2 E DROP,,4MIN
Xchange-URI OFF vs Harvard  9282018.056,URI,Harvard,URI VS Harvard,URI VS Harvard: 12,12,1,1,10,1st,Long,L,1st and Long,30,70,70 _ 80,L,12,Y RT,ST,DING LT,DING,,,0,R,LOCK,-13,,0,,BASE,HEADS,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.057,URI,Harvard,URI VS Harvard,URI VS Harvard: 12,12,2,2,23,2nd,Extra Long,aL,2nd and Extra Long,43,57,60 _ 70,L,12,T RODEO,PIST FULL,RT,RT,,,1,P,PA,,INT,0,INT,BASE,TITE,,4_3,4,3,,4,X,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.058,URI,Harvard,URI VS Harvard,URI VS Harvard: 13,13,1,1,10,1st,Long,L,1st and Long,28,72,70 _ 80,L,12,,ST,DING LT,DING,,,0,R,TRUCK,-10,,0,,BASE,OVER G,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.059,URI,Harvard,URI VS Harvard,URI VS Harvard: 13,13,2,1,20,1st,Extra Long,aL,1st and Extra Long,38,62,60 _ 70,L,12,,ST,TRIO RT ON,TRIO ON,,,0,R,INSIDE ZONE,1,,0,,BASE,OVER G,7 7,4_1,4,1,WHSW,6,,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.060,URI,Harvard,URI VS Harvard,URI VS Harvard: 13,13,3,2,19,2nd,Extra Long,aL,2nd and Extra Long,37,63,60 _ 70,LM,12,,ST,DING LT,DING,,,0,R,BUCK,-3,,0,,BASE,OVER G,7,4_1,4,1,WHSW,6,,4,ZONE,O,,,4MIN
Xchange-URI OFF vs Harvard  9282018.061,URI,Harvard,URI VS Harvard,URI VS Harvard: 13,13,4,3,22,3rd,Extra Long,aL,3rd and Extra Long,40,60,60 _ 70,L,11,W RODEO,ST,DEUCE RT,DEUCE,,,0,R,INSIDE ZONE,-2,,0,PUNT,NICKEL,OVER G,,4_2,4,2,SW,3 SNOW,,3,ZONE,C,,,4MIN
18 02 HARVARD DEF vs BROWN OFF.001,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,1,1,10,1st,Long,L,1st and Long,-25,25,30 _ 40,R,11,,ST,TREY RT ON,TREY ON,,,1,P,RPO,15,COM,0,,BASE,OVER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.002,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,2,1,10,1st,Long,L,1st and Long,-40,40,40 _ 50,R,11,,GUN,EMPTY RT,EMPTY,,,1,P,SHOVEL,12,COM,0,,BASE,OVER G,,4_1,4,1,SWW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.003,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,3,1,10,1st,Long,L,1st and Long,48,52,50 _ 60,L,12,Z RETURN,GUN,EMPTY TRUNK RT,EMPTY,,,1,P,NAKED,0,INC,0,,BASE,OVER G,5,4_1,4,1,WH,4,,4,ZONE,O,,,
