TAPE_LABEL,Offense,Defense,Game,Drive ID,SER,S#,DOWN,DISTANCE,DownSit,DistSit,DistSitO,DDSit,FPOS,FPOS(0-100),Fieldzone,HASH,PERS,MOTION,BACK,FORM,FORM_FAM,FSL,UNB,PR01,R/P,PLAY_TYPE,GAIN,PASS_RESULT,Points Added,SER_END,DEF_PERS,FRONT,FRONT_ADJ,BOX,DL Count,LB Count,LB_ALIGN,COVER,LEFT_COVERAGE_TAG,COV_FAM,MAN-ZONE,MOF,STUNTS,BLITZ,SITUATION
18 02 HARVARD DEF vs BROWN OFF.004,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,4,2,10,2nd,Long,L,2nd and Long,48,52,50 _ 60,L,11,,GUN,EMPTY LT,EMPTY,,,1,P,DBP,8,SCRAM,0,,BASE,OVER G,,4_0,4,0,SMWO,33 SS HOLE,X,3,ZONE,C,,MB,
18 02 HARVARD DEF vs BROWN OFF.005,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,5,3,2,3rd,Short,S,3rd and Short,40,60,60 _ 70,L,11,,WK,TRIO LT,TRIO,,,1,P,SHOVEL,15,COM,0,,BASE,OVER G,7,4_1,4,1,SWW,3 SNOW,,3,ZONE,C,,,
18 02 HARVARD DEF vs BROWN OFF.006,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,6,1,10,1st,Long,L,1st and Long,25,75,80 _ 90,R,21,W RODEO,SPLIT,OPEN RT,OPEN,,,1,P,BLING,1,COM,0,,BASE,HEADS,,4_2,4,2,SW,3 SNOW,X,3,ZONE,C,,,
18 02 HARVARD DEF vs BROWN OFF.007,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,7,2,9,2nd,Long,L,2nd and Long,24,76,80 _ 90,L,11,,ST,DUO RT,DUO,,,1,P,RPO,0,INC,0,,BASE,UNDER G,,4_1,4,1,SWW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.008,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,8,3,9,3rd,Long,L,3rd and Long,24,76,80 _ 90,L,11,,ST,DEUCE LT,DEUCE,,,1,P,SCREEN,12,COM,0,,BASE,OVER G,,4_2,4,2,SO,1,X,1,MAN,C,W2 R DROP,,
18 02 HARVARD DEF vs BROWN OFF.009,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,9,1,10,1st,Long,L,1st and Long,12,88,90 _ 100,L,11,,ST,DUO RT ON,DUO ON,,,0,R,READ,2,,0,,BASE,UNDER G,7,4_1,4,1,SWW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.010,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,10,2,8,2nd,Long,L,2nd and Long,10,90,90 _ 100,L,11,,ST,TREY LT ON,TREY ON,,,1,P,RPO,0,INC,0,,BASE,OVER G,7,4_2,4,2,SW,42,X,4,ZONE,O,,SC,
18 02 HARVARD DEF vs BROWN OFF.011,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 1,1,11,3,8,3rd,Long,L,3rd and Long,10,90,90 _ 100,L,12,,WK,DING RT,DING,,,1,P,NAKED,0,INC,3,FG - GOOD,BASE,OVER G,5,4_1,4,1,WH,6,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.012,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 2,2,1,1,10,1st,Long,L,1st and Long,-25,25,30 _ 40,R,11,,ST,DUO LT,DUO,,,0,R,TRAP,3,,0,,BASE,UNDER G,,4_1,4,1,SWW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.013,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 2,2,2,2,7,2nd,Medium,M,2nd and Medium,-28,28,30 _ 40,M,11,,ST,TREY LT ON,TREY ON,,,1,P,RPO,2,COM,0,,BASE,OVER G,7,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.014,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 2,2,3,3,5,3rd,Medium,M,3rd and Medium,-30,30,30 _ 40,R,11,,WK,TREY RT ON,TREY ON,,,1,P,QUICK,0,INC,0,PUNT,BASE,UNDER G,7,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.015,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 3,3,1,1,10,1st,Long,L,1st and Long,-25,25,30 _ 40,R,11,,ST,TREY RT,TREY,,,1,P,PA,0,INC,0,,BASE,OVER G,,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.016,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 3,3,2,2,10,2nd,Long,L,2nd and Long,-25,25,30 _ 40,R,11,,ST,DEUCE RT,DEUCE,,,1,P,SCREEN,18,COM,0,,BASE,OVER G,,4_1,4,1,SWW,42,,4,ZONE,O,,MB,
18 02 HARVARD DEF vs BROWN OFF.017,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 3,3,3,1,10,1st,Long,L,1st and Long,-43,43,40 _ 50,L,12,,ST,DING RT,DING,,,1,P,PA,0,INC,0,,BASE,UNDER G,7,4_1,4,1,WH,4,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.018,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 3,3,4,2,10,2nd,Long,L,2nd and Long,-43,43,40 _ 50,L,11,,WK,DEUCE LT,DEUCE,,,1,P,PA,-5,SACK,0,,BASE,UNDER G,,4_1,4,1,SWW,6,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.019,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 3,3,5,3,15,3rd,Extra Long,aL,3rd and Extra Long,-38,38,40 _ 50,M,11,,ST,TRIPS RT,TRIPS,,,1,P,DBP,0,INC,0,PUNT,ODD,ODD,,3_3,3,3,MUG,4,,4,ZONE,O,MC EM NE,,
18 02 HARVARD DEF vs BROWN OFF.020,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,1,1,10,1st,Long,L,1st and Long,-7,7,10 _ 20,R,11,,WK,TREY RT,TREY,,,0,R,OUTSIDE ZONE,5,,0,,BASE,OVER G,,4_2,4,2,SW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.021,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,2,2,5,2nd,Medium,M,2nd and Medium,-12,12,10 _ 20,R,11,,ST,DUO RT ON,DUO ON,Y,,0,R,READ,3,,0,,BASE,UNDER G,7,4_1,4,1,SW,6,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.022,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,3,3,2,3rd,Short,S,3rd and Short,-15,15,20 _ 30,R,11,,ST,TRIPS RT,TRIPS,,,0,R,READ,3,,0,,BASE,OVER G,,4_2,4,2,BOSS,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.023,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,4,1,10,1st,Long,L,1st and Long,-18,18,20 _ 30,R,21,W RODEO,SPLIT,OPEN RT,OPEN,,,0,R,BLING,-9,,0,,BASE,HEADS,,4_2,4,2,SW,3 SNOW,X,3,ZONE,C,,,
18 02 HARVARD DEF vs BROWN OFF.024,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,5,1,19,1st,Extra Long,aL,1st and Extra Long,-9,9,10 _ 20,R,11,,ST,TRIPS RT,TRIPS,,,0,R,SKETCH,8,,0,,BASE,OVER G,,4_1,4,1,BOSS,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.025,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,6,2,11,2nd,Extra Long,aL,2nd and Extra Long,-17,17,20 _ 30,R,11,,WK,DUO LT ON,DUO ON,,,1,P,QUICK,2,COM,0,,BASE,OVER G,5,4_1,4,1,SWW,4,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.026,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 4,4,7,3,9,3rd,Long,L,3rd and Long,-19,19,20 _ 30,R,11,,GUN,EMPTY RT,EMPTY,,,1,P,QUICK,0,INT,0,INT,NICKEL,OVER G,,4_0,4,0,MWW,32,,3,ZONE,C,TE NR,MC W3,
18 02 HARVARD DEF vs BROWN OFF.027,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 5,5,1,1,10,1st,Long,L,1st and Long,-20,20,20 _ 30,L,11,W ROCKET,GUN,EMPTY TRIO,EMPTY,,,1,P,SHOVEL,2,COM,0,,BASE,UNDER G,7,4_1,4,1,SWW,3 SNOW,,3,ZONE,C,,,
18 02 HARVARD DEF vs BROWN OFF.028,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 5,5,2,2,8,2nd,Long,L,2nd and Long,-22,22,20 _ 30,L,11,,ST,TREY LT,TREY,,,0,R,LOCK,2,,0,,BASE,OVER G,,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.029,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 5,5,3,3,6,3rd,Medium,M,3rd and Medium,-24,24,20 _ 30,L,11,,WK,TRIPS LT,TRIPS,,,1,P,DBP,,INT,0,INT,BASE,OVER G,,4_1,4,1,SO,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.030,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 6,6,1,1,10,1st,Long,L,1st and Long,-25,25,30 _ 40,R,11,W RODEO,WK,DUO LT ON,DUO ON,,,1,P,TRICK,53,COM,0,,BASE,UNDER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.031,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 6,6,2,1,10,1st,Long,L,1st and Long,22,78,80 _ 90,L,13,Z RETURN,WK,THICK RT,THICK,Y,,1,P,PA,18,COM,0,,BASE,UNDER G,7 7,4_1,4,1,SWH,4,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.032,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 6,6,3,1,4,1st,Short,S,1st and Short,4,96,100 _ 110,L,11,,ST,TREY LT ON,TREY ON,,,0,R,READ,2,,0,,BASE,OVER G,7,4_2,4,2,SW,1,X,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.033,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 6,6,4,2,2,2nd,Short,S,2nd and Short,2,98,100 _ 110,L,11,,ST,DUO RT ON,DUO ON,,,0,R,READ,-1,,0,,BASE,UNDER G,7,4_2,4,2,SW,1,,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.034,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 6,6,5,3,3,3rd,Short,S,3rd and Short,3,97,100 _ 110,L,12,T LT,GUN,EMPTY DING,EMPTY,,,1,P,SHOVEL,0,INC,0,,BASE,OVER G,7,4_2,4,2,WH,1,,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.035,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 6,6,6,4,3,4th,Short,S,4th and Short,3,97,100 _ 110,L,11,,GUN,EMPTY TRIO,EMPTY,,,1,P,SHOVEL,0,INC,0,DOWNS,BASE,UNDER G,7,4_2,4,2,WH,1,,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.036,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 7,7,1,1,10,1st,Long,L,1st and Long,-27,27,30 _ 40,R,11,,ST,DEUCE RT,DEUCE,,,1,P,SCREEN,9,COM,0,,BASE,OVER G,,4_1,4,1,SW,4,BAIL,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.037,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 7,7,2,2,1,2nd,Short,S,2nd and Short,-36,36,40 _ 50,R,11,,ST,TREY RT ON,TREY ON,,,0,R,INSIDE ZONE,1,,0,,BASE,UNDER G,7,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.038,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 7,7,3,1,10,1st,Long,L,1st and Long,-37,37,40 _ 50,R,11,,ST,DEUCE RT,DEUCE,,,1,P,SCREEN,-10,PEN,0,,BASE,OVER G,,4_1,4,1,WO,3 SNOW,X,3,ZONE,C,,,
18 02 HARVARD DEF vs BROWN OFF.039,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 7,7,4,1,20,1st,Extra Long,aL,1st and Extra Long,-27,27,30 _ 40,R,11,,ST,TRIO RT,TRIO,,,1,P,PA,0,INC,0,,BASE,UNDER G,7,4_2,4,2,WH,33 SNOW,,3,ZONE,C,,SB,
18 02 HARVARD DEF vs BROWN OFF.040,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 7,7,5,2,20,2nd,Extra Long,aL,2nd and Extra Long,-27,27,30 _ 40,R,11,,ST,TRIPS RT,TRIPS,,,1,P,DBP,14,COM,0,,BASE,OVER G,,4_1,4,1,BOSS,4,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.041,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 7,7,6,3,6,3rd,Medium,M,3rd and Medium,-41,41,40 _ 50,L,11,,ST,DEUCE LT,DEUCE,,,1,P,DBP,0,INC,0,PUNT,BASE,UNDER G,,4_2,4,2,,1,,1,MAN,C,W1 R DROP,,
18 02 HARVARD DEF vs BROWN OFF.042,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 8,8,1,1,3,1st,Short,S,1st and Short,3,97,100 _ 110,R,11,T RT,GUN,EMPTY TRIO,EMPTY,,,1,P,SHOVEL,0,INC,0,,BASE,OVER G,7,4_2,4,2,SO,1,,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.043,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 8,8,2,2,3,2nd,Short,S,2nd and Short,3,97,100 _ 110,R,11,,ST,DEUCE RT,DEUCE,,,1,P,SCREEN,-1,COM,0,,BASE,OVER G,,4_2,4,2,,1,X,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.044,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 8,8,3,3,4,3rd,Short,S,3rd and Short,4,96,100 _ 110,R,11,,ST,TREY RT ON,TREY ON,,,1,P,RPO,4,COM,0,TD,BASE,OVER G,7,4_2,4,2,SW,1,PRESS,1,MAN,C,,,
18 02 HARVARD DEF vs BROWN OFF.045,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 9,9,1,1,10,1st,Long,L,1st and Long,-30,30,30 _ 40,R,12,X ROCKET,ST,DICE RT,DICE,,,0,R,TRICK,-9,,0,,BASE,UNDER G,7,4_2,4,2,SW,3 HOOK ST,,3,ZONE,C,,,
18 02 HARVARD DEF vs BROWN OFF.046,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 9,9,2,2,19,2nd,Extra Long,aL,2nd and Extra Long,-21,21,20 _ 30,R,11,,WK,DUO LT ON,DUO ON,,,1,P,QUICK,10,COM,0,,BASE,OVER G,7,4_1,4,1,SWW,4,,4,ZONE,O,TR BDY,,
18 02 HARVARD DEF vs BROWN OFF.047,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 9,9,3,3,9,3rd,Long,L,3rd and Long,-31,31,30 _ 40,L,12,,WK,DING RT,DING,,,1,P,PA,0,INC,0,PUNT,ODD,ODD,,3_3,3,3,RH,1,,1,MAN,C,,MB SC,
18 02 HARVARD DEF vs BROWN OFF.048,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 10,10,1,1,10,1st,Long,L,1st and Long,-12,12,10 _ 20,L,11,,ST,TREY LT,TREY,,,1,P,RPO,55,COM,0,,BASE,OVER G,,4_2,4,2,SW,4 SOLO,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.049,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 10,10,2,1,10,1st,Long,L,1st and Long,33,67,70 _ 80,L,11,,ST,DUO RT ON,DUO ON,,,1,P,BUBBLE,4,COM,0,,BASE,UNDER G,7,4_2,4,2,SW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.050,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 10,10,3,2,6,2nd,Medium,M,2nd and Medium,29,71,70 _ 80,R,11,,ST,DEUCE RT,DEUCE,,,1,P,DBP,0,INC,0,,BASE,OVER G,,4_2,4,2,SW,4,X,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.051,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 10,10,4,3,6,3rd,Medium,M,3rd and Medium,29,71,70 _ 80,R,12,,ST,DING LT,DING,,,1,P,RPO,29,COM,0,TD,BASE,OVER G,7,4_2,4,2,WH,6,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.052,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 11,11,1,1,10,1st,Long,L,1st and Long,-12,12,10 _ 20,L,11,,ST,TREY RT,TREY,,,1,P,RPO,5,COM,0,,BASE,OVER G,,4_2,4,2,SW,4,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.053,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 11,11,2,2,5,2nd,Medium,M,2nd and Medium,-17,17,20 _ 30,L,11,,WK,DUO RT ON,DUO ON,,,1,P,NAKED,0,INC,0,,BASE,OVER G,7,4_2,4,2,WH,4,,4,ZONE,O,,,
18 02 HARVARD DEF vs BROWN OFF.054,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 11,11,3,3,5,3rd,Medium,M,3rd and Medium,-17,17,20 _ 30,L,11,,ST,TRIPS LT,TRIPS,,,1,P,SKETCH,-2,,0,,NICKEL,OVER G,,4_2,4,2,SW,32,BAIL,3,ZONE,C,TE,MA SC,
18 02 HARVARD DEF vs BROWN OFF.055,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 11,11,4,4,7,4th,Medium,M,4th and Medium,-15,15,20 _ 30,L,,,WK,DEUCE LT,DEUCE,,,,N,,-5,,0,,NICKEL,ODD,,,,,,33 FIRE,,3,ZONE,C,,M1 W3,
18 02 HARVARD DEF vs BROWN OFF.056,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 11,11,5,4,12,4th,Extra Long,aL,4th and Extra Long,-10,10,10 _ 20,L,11,,WK,TRIPS LT,TRIPS,,,1,P,DBP,0,INC,0,DOWNS,BASE,OVER G,,4_2,,,SO,2 TAMPA,,2,ZONE,C,TR NE,,
18 02 HARVARD DEF vs BROWN OFF.057,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,1,1,10,1st,Long,L,1st and Long,-1,1,0 _ 10,L,11,,WK,TRIO LT,TRIO,,,1,P,DBP,0,INC,0,,ODD,ODD,,3_3,,,SO,60,,4,ZONE,O,,,BLOW OUT
18 02 HARVARD DEF vs BROWN OFF.058,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,2,2,10,2nd,Long,L,2nd and Long,-1,1,0 _ 10,L,11,,WK,DUO RT,DUO,,,0,R,INSIDE ZONE,3,,0,,ODD,ODD,,3_3,,,SO,4,,4,ZONE,O,W1,,BLOW OUT
18 02 HARVARD DEF vs BROWN OFF.059,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,3,3,7,3rd,Medium,M,3rd and Medium,-4,4,0 _ 10,L,11,,ST,TREY LT,TREY,,,0,R,INSIDE ZONE,2,,0,,ODD,ODD,,3_3,,,SO,4,,4,ZONE,O,MC EM,,BLOW OUT
18 02 HARVARD DEF vs BROWN OFF.060,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,4,4,5,4th,Medium,M,4th and Medium,-6,6,10 _ 20,L,11,,WK,TRIO LT,TRIO,,,1,P,DBP,10,COM,0,,ODD,ODD,,3_3,,,SO,40,,4,ZONE,O,,,BLOW OUT
18 02 HARVARD DEF vs BROWN OFF.061,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,5,1,10,1st,Long,L,1st and Long,-16,16,20 _ 30,R,11,,WK,TRIPS RT,TRIPS,,,1,P,DBP,0,INC,0,,ODD,ODD,,3_3,,,SO,4,,4,ZONE,O,W3 EW,,
18 02 HARVARD DEF vs BROWN OFF.062,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,6,2,10,2nd,Long,L,2nd and Long,-16,16,20 _ 30,R,11,,ST,DEUCE RT,DEUCE,,,1,P,SCREEN,4,COM,0,,ODD,ODD,,3_3,,,SO,60,,4,ZONE,O,,,BLOW OUT
18 02 HARVARD DEF vs BROWN OFF.063,Brown,Harvard,Brown VS Harvard,Brown VS Harvard: 12,12,7,3,6,3rd,Medium,M,3rd and Medium,-20,20,20 _ 30,R,11,,WK,DUO LT,DUO,,,0,R,INSIDE ZONE,7,,0,GAME,ODD,ODD,,3_3,,,SO,40,,4,ZONE,O,,,BLOW OUT
18 01 HARVARD DEF vs USD OFF.001,USD,Harvard,USD VS Harvard,USD VS Harvard: 1,1,1,1,10,1st,Long,L,1st and Long,-24,24,20 _ 30,R,12,,HOME,DICE LT OFF,DICE,,,1,P,QUICK,18,COM,0,,BASE,UNDER G,5 5,4_1,,,SWH,4,X,4,ZONE,O,,,
18 01 HARVARD DEF vs USD OFF.002,USD,Harvard,USD VS Harvard,USD VS Harvard: 1,1,2,1,10,1st,Long,L,1st and Long,-42,42,40 _ 50,L,12,,I,PRO RT,PRO,,,0,R,BUCK,2,,0,,BASE,OVER G,7,4_2,,,SH,4,X,4,ZONE,O,,,
18 01 HARVARD DEF vs USD OFF.003,USD,Harvard,USD VS Harvard,USD VS Harvard: 1,1,3,2,8,2nd,Long,L,2nd and Long,-44,44,40 _ 50,LM,12,Z ROCKET,ST,DICE RT,DICE,,,0,R,RACE,7,,0,,BASE,OVER G,5 5,4_1,,,SWH,3 SNOW,,3,ZONE,C,,,
18 01 HARVARD DEF vs USD OFF.004,USD,Harvard,USD VS Harvard,USD VS Harvard: 1,1,4,3,1,3rd,Short,S,3rd and Short,49,51,50 _ 60,R,12,Z ROCKET,WK,TREY ON UNB,UNB,,Y,0,R,RACE,-3,,0,PUNT,BASE,UNDER G,7,4_2,,,SCH,6,,4,ZONE,O,,,
18 01 HARVARD DEF vs USD OFF.005,USD,Harvard,USD VS Harvard,USD VS Harvard: 2,2,1,1,8,1st,Long,L,1st and Long,8,92,90 _ 100,R,12,W LT,HOME,TRIO LT IN,TRIO ON,,,0,R,OUTSIDE ZONE,-4,,0,,BASE,OVER G,5,4_2,,,SCH,6,,4,ZONE,O,,,
